year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
1984,1,0,0,0,4190
1984,2,4979,38,4021,4190
1984,3,1512,10,414,4190
1984,4,2070,8,4112,4190
1984,max,4979,38,4112,4190
1985,1,0,0,221,4190
1985,2,33400,189,4127,4190
1985,3,26739,71,366,4190
1985,4,181834,966,3937,4190
1985,max,181834,966,4127,4190
1986,1,0,0,4085,4190
1986,2,15668,67,4090,4190
1986,3,177517,1503,4164,4190
1986,4,24147,135,4048,4190
1986,max,177517,1503,4164,4190
1987,1,2154,32,4188,4190
1987,2,7770,38,4118,4190
1987,3,129568,982,4178,4190
1987,4,34470,134,1546,4190
1987,max,129568,982,4188,4190
1988,1,801,2,3842,4190
1988,2,56749,223,3948,4190
1988,3,579791,2746,4131,4190
1988,4,2214,7,336,4190
1988,max,579791,2746,4131,4190
1989,1,0,0,0,4190
1989,2,6014,28,3996,4190
1989,3,204157,1408,4159,4190
1989,4,289796,1797,4189,4190
1989,max,289796,1797,4189,4190
1990,1,279,1,3997,4190
1990,2,67041,546,4164,4190
1990,3,382683,2369,4136,4190
1990,4,235259,1469,4103,4190
1990,max,382683,2369,4164,4190
1991,1,16065,20,282,4190
1991,2,22380,135,4168,4190
1991,3,107606,542,4128,4190
1991,4,43327,145,3591,4190
1991,max,107606,542,4168,4190
1992,1,0,0,1889,4190
1992,2,17531,88,4135,4190
1992,3,74200,577,4158,4190
1992,4,24511,290,4189,4190
1992,max,74200,577,4189,4190
1993,1,7395,80,4141,4190
1993,2,1304,16,694,4190
1993,3,0,0,126,4190
1993,4,25032,232,4183,4190
1993,max,25032,232,4183,4190
1994,1,1491,15,4182,4190
1994,2,16106,183,4186,4190
1994,3,73687,415,4156,4190
1994,4,25004,447,4189,4190
1994,max,73687,447,4189,4190
1995,1,263,3,950,4190
1995,2,3805,40,4103,4190
1995,3,19122,220,4188,4190
1995,4,4185,17,4046,4190
1995,max,19122,220,4188,4190
1996,1,4138,18,4142,4190
1996,2,30536,161,4159,4190
1996,3,32404,132,3482,4190
1996,4,79525,400,4102,4190
1996,max,79525,400,4159,4190
1997,1,2955,36,4173,4190
1997,2,35647,367,4184,4190
1997,3,337207,2546,4190,4190
1997,4,16096,390,4175,4190
1997,max,337207,2546,4190,4190
1998,1,1184,18,4079,4190
1998,2,4368,23,4168,4190
1998,3,3187,23,3935,4190
1998,4,15228,101,4054,4190
1998,max,15228,101,4168,4190
